国家,新增确诊,累计确诊,累计治愈,累计死亡,死亡率（%）,感染占比,人口（万人）
美国,187901,16737267,9724439,306459,1.83,5122,32676
印度,27071,9884100,9388159,143355,1.45,729,135405
巴西,21825,6901952,6138349,181402,2.63,3273,21086
俄罗斯,26902,2656601,2105414,46846,1.76,1845,14396
法国,25357,2430612,182688,58015,2.39,3726,6523
英国,18538,1854490,4013,64267,3.47,2785,6657
意大利,17937,1843712,1093161,64520,3.50,3109,5929
土耳其,26919,1836728,1603780,16417,0.89,2242,8191
西班牙,7053,1741439,196958,47624,2.73,3753,4639
阿根廷,3558,1498160,1335317,40766,2.72,3353,4468
哥伦比亚,8702,1425774,1314836,39053,2.74,2882,4946
德国,14709,1350810,990707,22103,1.64,1641,8229
墨西哥,8608,1250044,918681,113953,9.12,956,13075
波兰,4896,1140572,869155,22960,2.01,2993,3810
伊朗,7501,1115770,823231,52447,4.70,1360,8201
秘鲁,4030,984973,918352,36677,3.72,3026,3255
乌克兰,6877,925321,526101,15792,1.71,2103,4400
南非,7999,860964,761011,23276,2.70,1500,5739
荷兰,8510,632024,7872,10168,1.61,3700,1708
印度尼西亚,5489,623309,510957,18956,3.04,233,26679
比利时,2171,608137,33687,17951,2.95,5292,1149
捷克,2000,581079,505922,9609,1.65,-,-
伊拉克,1338,575972,509474,12603,2.19,1464,3933
智利,0,571919,544832,15886,2.78,3144,1819
罗马尼亚,3252,559587,460780,13494,2.41,2857,1958
孟加拉,1799,492332,423845,7089,1.44,-,-
加拿大,5916,464443,378653,13451,2.90,1256,3695
菲律宾,1333,450733,418723,8757,1.94,423,10651
巴基斯坦,2362,440787,384719,8832,2.00,219,20081
摩洛哥,2012,399609,356023,6624,1.66,1104,3619
瑞士,10726,384557,308300,6079,1.58,4503,854
沙特阿拉伯,125,360013,350792,6059,1.68,1073,3355
以色列,2043,358293,337599,3003,0.84,4240,845
葡萄牙,4044,348744,271322,5559,1.59,3389,1029
奥地利,2588,325051,284174,4530,1.39,3714,875
瑞典,0,320098,4917,7514,2.35,3207,998
匈牙利,3470,283870,82546,7130,2.51,2932,968
塞尔维亚,4932,271364,0,2380,0.88,3097,876
约旦,2339,259614,218467,3365,1.30,2622,990
尼泊尔,821,249244,236573,1716,0.69,841,2962
厄瓜多尔,586,202110,177951,13875,6.87,1198,1686
巴拿马,2422,193007,162105,3356,1.74,4639,416
格鲁吉亚,1337,191063,161681,1839,0.96,4899,390
哈萨克斯坦,764,186277,157701,2552,1.37,1012,1840
阿联酋,2286,186041,164349,618,0.33,1950,954
日本,1679,182990,151490,2541,1.39,143,12718
日本本土,1679,182278,150791,2528,1.39,14,12718
保加利亚,497,179449,83720,5688,3.17,2552,703
克罗地亚,1472,177358,151884,2705,1.53,4263,416
阿塞拜疆,0,175874,114841,1966,1.12,1772,992
白俄罗斯,1853,162148,139785,1273,0.79,1715,945
多米尼加,1107,154692,120481,2361,1.53,-,-
哥斯达黎加,0,150947,112622,1895,1.26,3049,495
亚美尼亚,357,148682,125966,2503,1.68,5074,293
玻利维亚,120,147150,126221,9018,6.13,1312,1121
黎巴嫩,1275,146520,101334,1200,0.82,2405,609
科威特,231,146449,142357,912,0.62,3495,419
卡塔尔,0,140961,138490,240,0.17,5240,269
斯洛伐克,505,133489,98585,1205,0.90,2453,544
