美国,138188,13750404,8107203,273072
印度,38772,9431691,8847600,137139
巴西,24468,6314740,5581436,172833
俄罗斯,26046,2275936,1763493,39491
法国,9784,2270573,167005,52410
西班牙,8348,1646192,196958,44668
英国,12157,1621307,3514,58342
意大利,20646,1585178,734503,54904
阿根廷,5432,1418807,1249843,38473
哥伦比亚,8763,1308376,1204452,36584
墨西哥,5668,1107071,818397,105655
德国,11258,1063752,731964,16312
波兰,5736,990811,577514,17150
秘鲁,2162,962530,893061,35923
伊朗,-,948749,658292,47874
南非,2563,787702,730633,21477
乌克兰,10238,752343,360360,12731
土耳其,29281,607628,400242,13558
比利时,2151,576599,33687,16547
伊拉克,1614,550435,480903,12224
智利,1489,550430,525213,15356
印度尼西亚,4617,538883,450518,16945
荷兰,112,527336,6921,9426
捷克,1074,519723,444406,8138
罗马尼亚,-,471536,348852,11193
孟加拉国,-,462407,378172,6609
菲律宾,1766,431630,398658,8392
巴基斯坦,2839,398024,341423,8025
加拿大,4984,373662,299095,12046
沙特阿拉伯,217,357128,346409,5884
摩洛哥,4115,353803,302314,5789
以色列,992,335980,323219,2864
瑞士,-,318290,222100,4650
葡萄牙,4093,294799,209534,4427
奥地利,2748,282456,221692,3184
瑞典,-,243129,4917,6681
尼泊尔,-,231978,212590,1479
匈牙利,5595,217122,63860,4823
约旦,3598,214307,148572,2694
厄瓜多尔,1208,192117,169804,13423
塞尔维亚,6179,169214,15913,1549
阿联酋,-,167753,154185,570
巴拿马,1276,164729,143616,3060
日本,656,148154,121735,2059
玻利维亚,30,144622,121472,8952
多米尼加,820,143473,114818,2330
保加利亚,739,142486,48594,3814
科威特,-,142426,136413,878
卡塔尔,-,138648,135862,237
哥斯达黎加,-,137093,84991,1690
格鲁吉亚,3216,135584,113986,1267
亚美尼亚,356,135124,108442,2164
白俄罗斯,-,135008,113375,1151
哈萨克斯坦,794,131659,116461,1990
黎巴嫩,1266,126944,76774,1004
克罗地亚,-,126612,101838,1712
阿曼,-,123484,114963,1418
危地马拉,173,121971,110588,4166
阿塞拜疆,-,118195,73676,1361
埃及,358,115541,102596,6636
埃塞俄比亚,604,109534,69315,1700
洪都拉斯,375,107888,47680,2909
摩尔多瓦,1165,107017,94586,2290
斯洛伐克,196,105929,66041,839
希腊,1193,104227,23074,2321
委内瑞拉,280,102040,96652,894
突尼斯,1271,96251,69624,3219
波多黎各,13395,92100,42993,1094
缅甸,1509,89486,68910,1918
波黑,-,87374,51479,2620
巴林,142,86787,84977,341
巴勒斯坦,-,83585,63834,717
肯尼亚,711,83316,54975,1452
利比亚,-,82430,53266,1166
阿尔及利亚,1009,82221,53204,2410
巴拉圭,775,81906,57947,1743
丹麦,998,79872,63030,829
斯洛文尼亚,11,75381,53687,1384
乌兹别克斯坦,167,72920,70198,608
吉尔吉斯斯坦,380,72807,64149,1271
爱尔兰,299,72241,23364,2052
尼日利亚,82,67412,63055,1173
马来西亚,-,64485,52647,357
北马其顿,820,61543,38400,1731
立陶宛,1132,61325,14211,506
新加坡,5,58218,58124,29
加纳,93,51569,50450,323
阿富汗,283,46498,36788,1774
萨尔瓦多,-,38405,35078,1114
阿尔巴尼亚,835,37625,18481,798
挪威,282,35828,17998,328
黑山,427,34881,23484,487
韩国,377,34201,27653,526
卢森堡,-,33409,24073,300
澳大利亚,11,27904,25598,908
芬兰,-,24629,16800,393
喀麦隆,-,24117,22177,437
斯里兰卡,173,23484,17002,116
科特迪瓦,49,21310,20947,131
乌干达,201,20145,8989,201
库拉索岛,-,18762,0,408
赞比亚共和国,-,17589,16925,357
苏丹,-,17404,10175,1235
马达加斯加,-,17341,16657,251
拉脱维亚,-,16975,1719,197
塞内加尔,-,16075,15597,333
莫桑比克,27,15613,13677,130
安哥拉,16,15103,7763,346
纳米比亚,60,14345,13439,151
几内亚,58,13097,12004,76
马尔代夫,47,12994,11902,46
刚果（金）,94,12702,11585,333
爱沙尼亚,256,12308,7078,118
塔吉克斯坦,37,12155,11559,86
佛得角,47,10747,10229,105
牙买加,40,10709,6066,256
塞浦路斯,152,10383,2057,48
博茨瓦纳,-,10258,7717,31
津巴布韦,128,9950,8482,276
马耳他,-,9752,7557,133
法属圭亚那,-,9692,9341,65
海地,-,9272,7951,232
加蓬,-,9191,9037,59
毛里塔尼亚,89,8547,7717,175
瓜德罗普岛,-,8344,0,149
古巴,60,8233,7586,134
留尼旺,-,7940,0,40
叙利亚,82,7797,3500,413
巴哈马,21,7517,5867,163
关岛,-,6782,5521,112
安道尔,102,6712,5794,76
特立尼达和多巴哥,30,6660,5745,120
斯威士兰,4,6410,5996,121
马拉维,-,6025,5453,185
卢旺达,28,5919,5480,48
尼加拉瓜,-,5784,4225,160
刚果（布）,-,5774,4988,94
伯利兹,96,5743,3131,147
乌拉圭,205,5716,4267,76
吉布提,1,5677,5577,61
马提尼克,-,5413,0,40
冰岛,-,5381,5168,26
圭亚那,38,5376,4346,150
苏里南,-,5312,5192,117
马约特,-,5181,0,49
赤道几内亚,-,5153,5009,85
中非共和国,-,4913,1924,63
阿鲁巴,-,4791,4640,45
马里,29,4688,3178,152
索马里,-,4451,3417,113
泰国,21,3998,3803,60
冈比亚,3,3734,3591,123
南苏丹,5,3109,2954,61
贝宁,-,2974,2819,43
多哥,16,2962,2464,64
布基纳法索,39,2856,2593,68
几内亚比绍,-,2422,2309,43
塞拉利昂,1,2411,1836,74
莱索托,-,2109,1278,44
也门共和国,-,2078,350,605
新西兰,6,2056,1959,25
乍得,19,1682,1515,101
利比里亚,-,1595,1343,83
圣马力诺,-,1586,1285,45
美属维尔京群岛,-,1538,1453,23
尼日尔,32,1516,1207,70
越南,-,1343,1179,35
列支敦士登,-,1273,1024,15
荷属圣马丁,4,1066,947,25
圣多美和普林西比,-,989,930,17
泽西岛,-,928,705,32
蒙古,7,791,354,0
法属波利尼西亚,-,773,528,0
圣马丁岛,-,690,0,12
布隆迪共和国,-,681,4,1
特克斯和凯科斯群岛,-,668,572,5
巴布亚新几内亚,-,645,588,7
科摩罗,1,611,586,7
摩纳哥,1,608,537,3
厄立特里亚,-,577,498,0
坦桑尼亚,-,509,183,21
毛里求斯,-,501,443,10
不丹,-,396,377,0
马恩岛,-,369,324,25
柬埔寨,8,323,301,0
直布罗陀,-,315,273,0
根西岛,-,286,253,13
巴巴多斯,5,275,250,7
开曼群岛,5,274,236,2
圣卢西亚,5,257,109,2
百慕大,5,247,182,9
法罗群岛,-,184,157,0
塞舌尔,-,173,162,0
荷兰加勒比地区,-,161,0,3
文莱,-,150,145,3
安提瓜和巴布达,-,141,130,4
圣巴泰勒米岛,-,127,0,0
北马里亚纳群岛联邦,1,105,0,2
多米尼克,-,85,63,0
圣文森特和格林纳丁斯,-,85,79,0
英属维尔京群岛,-,72,70,1
斐济,4,42,33,2
格林那达,-,41,30,0
老挝,-,39,26,0
东帝汶,-,30,30,0
梵蒂冈,-,27,15,0
新喀里多尼亚,-,26,23,0
圣其茨和尼维斯,-,22,19,0
福克兰群岛,1,17,13,0
圣皮埃尔和密克隆群岛,-,16,12,0
蒙特塞拉特,-,13,12,1
格陵兰,-,11,11,0
安圭拉,-,3,3,0
中国,136,93465,87570,4750
