国家,人口
中国,1426490644
印度,1344270000
美国,328802000
印度尼西亚,268074600
巴西,209598000
巴基斯坦,203885000
尼日利亚,193392517
孟加拉国,166155000
俄罗斯,146793744
墨西哥,126577691
日本,126330000
菲律宾,107295000
埃塞俄比亚,98665000
埃及,98408200
越南,95354000
刚果（金）,88806000
德国,82979100
伊朗,82256200
土耳其,82003882
法国,66992699
泰国,66335930
英国,66040229
意大利,60377663
南非,57725600
坦桑尼亚,55890747
缅甸,54339766
韩国,51811167
肯尼亚,49360000
西班牙,46733038
哥伦比亚,45500000
阿根廷,44938712
阿尔及利亚,43378027
乌克兰,42153201
苏丹,41303340
乌干达,40006700
伊拉克,39127900
波兰,38433600
加拿大,37394100
摩洛哥,34951000
沙特阿拉伯,33413660
乌兹别克斯坦,33368948
马来西亚,32636700
秘鲁,32495510
委内瑞拉,32219521
阿富汗,31575018
加纳,30280811
安哥拉,30175553
尼泊尔,29609623
也门共和国,29579986
莫桑比克,28861863
科特迪瓦,25823071
朝鲜,25450000
澳大利亚,25278400
马达加斯加,25263000
喀麦隆,24348251
尼日尔,22314743
斯里兰卡,21670000
布基纳法索,20870060
马里,19973000
罗马尼亚,19523621
智利,19107216
叙利亚,18499181
哈萨克斯坦,18395700
危地马拉,17679735
马拉维,17563749
赞比亚共和国,17381168
荷兰,17302600
厄瓜多尔,17190400
柬埔寨,16289270
塞内加尔,16209125
乍得,15692969
索马里,15636171
津巴布韦,15159624
南苏丹,12778250
卢旺达,12374397
几内亚,12218357
贝宁,11733059
海地,11577779
玻利维亚,11469896
比利时,11455358
突尼斯,11434994
古巴,11221060
布隆迪,10953317
希腊,10741165
捷克,10637794
约旦,10364100
多米尼加共和国,10358320
葡萄牙,10291027
瑞典,10230185
阿塞拜疆,9981457
匈牙利,9771000
阿联酋,9682088
白俄罗斯,9475200
洪都拉斯,9158345
以色列,8998820
塔吉克斯坦,8931000
奥地利,8859992
巴布亚新几内亚,8558800
瑞士,8526932
塞拉利昂,7901454
多哥,7538000
巴拉圭,7152703
老挝,7123205
保加利亚,7050034
塞尔维亚,7001444
萨尔瓦多,6704864
利比亚,6569864
尼加拉瓜,6393824
吉尔吉斯斯坦,6350500
黎巴嫩,6065922
丹麦,5806081
新加坡,5638700
土库曼斯坦,5629854
芬兰,5521773
中非共和国,5496011
斯洛伐克,5445087
挪威,5328212
哥斯达黎加,5058007
新西兰,4944070
爱尔兰,4857000
巴勒斯坦,4780978
阿曼,4669163
利比里亚,4475353
科威特,4226920
巴拿马,4218808
克罗地亚,4105493
毛里塔尼亚,4077347
格鲁吉亚,3729600
摩尔多瓦,3547539
乌拉圭,3518552
波黑,3511372
蒙古,3246164
厄立特里亚,3211946
波多黎各,3195153
亚美尼亚,2969200
阿尔巴尼亚,2870324
立陶宛,2793986
卡塔尔,2766459
牙买加,2728864
纳米比亚,2458936
博茨瓦纳,2338851
冈比亚,2228075
加蓬,2109099
斯洛文尼亚,2076595
北马其顿,2075301
莱索托,2007201
拉脱维亚,1918500
科索沃（未广泛承认）,1798506
几内亚比绍,1604528
巴林,1543300
东帝汶,1387149
特立尼达和多巴哥,1359193
赤道几内亚,1358276
爱沙尼亚,1323820
毛里求斯,1265577
斯威士兰,1093238
吉布提,1078373
斐济,884887
科摩罗,873724
塞浦路斯,864200
圭亚那,786508
不丹,741672
所罗门群岛,680806
黑山,622359
卢森堡,602005
西撒哈拉（未广泛承认）,582478
苏里南,573085
佛得角,550483
马耳他,475701
德涅斯特河沿岸共和国（未广泛承认）,469000
文莱,421300
伯利兹,398050
巴哈马,385340
马尔代夫,378114
冰岛,357050
北塞浦路斯（未广泛承认）,351965
瓦努阿图,304500
巴巴多斯,287010
新喀里多尼亚岛（法）,282200
法属玻利尼西亚,275918
阿布哈兹（未广泛承认）,244832
圣多美和普林西比,201784
萨摩亚,200874
圣卢西亚,180454
关岛（美）,172400
库拉索岛,160012
阿尔札赫（未广泛承认）,145053
基里巴斯,120100
阿鲁巴岛（荷）,111482
圣文森特和格林纳丁斯,109803
格林纳达,108825
泽西岛（英）,105500
密克罗尼西亚联邦,105300
美属维尔京群岛,104909
安提瓜和巴布达,104084
汤加,100651
塞舌尔,96762
马恩岛（英）,83314
安道尔,74794
多米尼加,74679
开曼群岛（英）,64420
百慕大（英）,63779
根西岛（英）,62063
美属萨摩亚,56700
北马里亚纳群岛（美）,56200
圣基茨和尼维斯,56345
格陵兰岛（丹）,55992
马绍尔群岛,55500
南奥塞梯（未广泛承认）,53532
法罗群岛（丹）,51371
特克斯和凯科斯群岛（英）,41369
圣马丁岛（荷）,40614
摩纳哥,38300
列支敦士登,38201
圣马丁（法）,36457
直布罗陀（英）,33573
圣马力诺,33419
英属维尔京群岛,32206
帕劳,17900
库克群岛（新西兰/准主权国家）,15200
安圭拉岛（英）,15174
瓦利斯群岛和富图纳群岛（法）,11700
瑙鲁,11000
图瓦卢,10200
圣巴尔特雷米（法）,9417
圣皮埃尔和米基隆（法）,6286
圣海伦娜，阿森松岛和特里斯坦达库尼亚,5633
蒙特塞拉特（英）,5220
福克兰群岛（马尔维纳斯群岛）（英）,3198
圣诞岛（澳）,1843
诺福克岛（澳）,1748
纽埃（新西兰/准主权国家）,1520
托克劳群岛（新西兰）,1499
梵蒂冈,800
基林群岛（澳）,544
皮特凯恩群岛（英）,50
