国家,新增确诊,确诊,治愈,死亡
美国,203427,14313941,8462347,279865
印度,35551,9534964,8973373,138648
巴西,49863,6436650,5759294,174515
俄罗斯,27829,2354934,1843526,41173
法国,14064,2275520,167915,52821
西班牙,9331,1682533,196958,45784
英国,16233,1663468,3615,59796
意大利,20709,1641610,823335,57045
阿根廷,7533,1440103,1268358,39156
哥伦比亚,9297,1334089,1225635,37117
墨西哥,11251,1133613,836567,107565
德国,21135,1117953,789564,17659
波兰,14863,1028610,646560,18828
伊朗,0,989572,688054,48990
秘鲁,0,963605,899213,35966
南非,4173,796472,734305,21709
乌克兰,14812,793372,400751,13394
土耳其,31923,700880,414141,14129
比利时,3040,582252,33687,16911
印度尼西亚,8369,557877,462553,17355
伊拉克,1961,556728,486313,12340
智利,0,553898,529501,15438
荷兰,208,541258,7069,9584
捷克,4568,533042,461599,8515
罗马尼亚,0,484550,371231,11665
孟加拉国,0,469423,385786,6713
菲律宾,1056,435413,399325,8446
巴基斯坦,3499,406810,346951,8205
加拿大,6413,393506,314529,12342
摩洛哥,4346,364190,314237,5985
沙特阿拉伯,0,357872,347513,5919
以色列,1191,339939,325305,2883
瑞士,0,335660,257600,5045
葡萄牙,3384,303846,223446,4645
奥地利,0,289461,233657,3446
瑞典,5400,266158,4917,6972
尼泊尔,0,236246,218161,1538
匈牙利,6635,231844,67033,5324
约旦,3591,227208,168429,2854
厄瓜多尔,1203,194876,169804,13562
塞尔维亚,7919,191356,15913,1704
哈萨克斯坦,777,176342,148732,2436
阿联酋,0,171434,156380,580
巴拿马,2028,169339,146576,3114
日本,1836,155239,127148,2161
保加利亚,3138,151913,55206,4347
格鲁吉亚,4260,147636,124568,1387
多米尼加,895,145197,115611,2334
玻利维亚,184,144994,123673,8972
科威特,0,143260,138134,882
哥斯达黎加,1168,141340,88226,1739
白俄罗斯,0,139908,117195,1174
卡塔尔,0,139256,136741,239
亚美尼亚,1277,138508,113228,2254
克罗地亚,0,134881,110355,1916
黎巴嫩,1842,131297,83034,1055
阿塞拜疆,0,129544,79162,1470
阿曼,0,124145,115866,1435
危地马拉,686,123460,112181,4191
埃及,421,116724,102949,6694
斯洛伐克,1982,111208,74273,930
埃塞俄比亚,430,110984,76067,1715
摩尔多瓦,1717,110580,96711,2343
希腊,2185,109655,23074,2606
洪都拉斯,891,109144,48877,2930
委内瑞拉,446,103067,98030,905
突尼斯,1208,99280,73607,3359
中国,129,93798,87677,4751
缅甸,0,93600,72601,1998
波多黎各,0,92100,42993,1094
波黑,0,90378,54967,2773
巴勒斯坦,0,90192,66989,763
巴林,133,87270,85463,341
肯尼亚,961,85130,56464,1484
阿尔及利亚,932,85084,54990,2464
巴拉圭,1003,84482,59465,1783
利比亚,0,84087,54712,1200
丹麦,0,84056,66604,852
斯洛文尼亚,3,79566,57447,1547
吉尔吉斯斯坦,420,73933,65589,1281
乌兹别克斯坦,96,73431,70712,611
爱尔兰,268,73066,23364,2074
马来西亚,0,68020,57917,376
尼日利亚,122,67960,63839,1177
北马其顿,945,63890,40977,1825
立陶宛,0,62515,15077,519
新加坡,9,58239,58144,29
加纳,0,51667,50547,323
阿富汗,0,46980,37026,1822
阿尔巴尼亚,705,39719,19912,839
萨尔瓦多,0,39130,35839,1134
挪威,378,36969,17998,351
黑山,502,36351,25409,510
卢森堡,673,35802,26497,334
韩国,540,35703,28352,529
澳大利亚,16,27939,25618,908
芬兰,0,25882,18100,408
斯里兰卡,528,25410,19032,124
喀麦隆,0,24487,22177,441
乌干达,374,21409,9044,206
科特迪瓦,27,21361,21010,132
库拉索岛,0,18762,0,408
拉脱维亚,0,18377,1823,224
苏丹,209,18254,10493,1265
赞比亚共和国,0,17665,17059,357
马达加斯加,0,17341,16657,251
塞内加尔,0,16173,15657,334
莫桑比克,96,15866,14014,132
安哥拉,68,15319,8139,351
纳米比亚,61,14477,13697,151
爱沙尼亚,450,13469,8182,123
几内亚,24,13167,12204,76
马尔代夫,21,13070,12001,47
刚果（金）,128,12987,11694,336
塔吉克斯坦,38,12269,11677,87
塞浦路斯,292,11175,2057,52
佛得角,51,10867,10422,106
牙买加,54,10864,6500,258
博茨瓦纳,0,10742,7912,34
津巴布韦,0,10129,8643,277
马耳他,0,10101,7887,146
法属圭亚那,0,9692,9341,65
海地,17,9313,8091,233
加蓬,25,9239,9089,60
毛里塔尼亚,153,8863,7780,179
古巴,75,8456,7714,136
瓜德罗普岛,0,8378,0,149
留尼旺,48,8102,0,40
叙利亚,86,8059,3689,426
巴哈马,0,7543,5934,163
关岛,0,6889,5846,112
安道尔,52,6842,5988,76
特立尼达和多巴哥,19,6704,5843,121
斯威士兰,13,6455,6032,122
乌拉圭,201,6225,4584,80
马拉维,12,6040,5471,185
卢旺达,46,5994,5575,50
伯利兹,0,5854,3151,148
尼加拉瓜,0,5838,4225,161
刚果（布）,0,5774,4988,94
吉布提,2,5682,5587,61
马提尼克,0,5486,0,40
圭亚那,26,5449,4530,151
冰岛,0,5413,5187,27
苏里南,1,5320,5200,117
马约特,0,5181,0,49
赤道几内亚,0,5156,5009,85
中非共和国,0,4918,1924,63
马里,75,4837,3263,161
阿鲁巴,0,4791,4640,45
索马里,0,4525,3480,121
泰国,13,4039,3832,60
冈比亚,22,3765,3609,123
南苏丹,7,3118,2966,61
贝宁,40,3055,2839,44
多哥,17,3014,2543,65
布基纳法索,79,3010,2667,68
几内亚比绍,0,2441,2327,44
塞拉利昂,3,2416,1838,74
莱索托,5,2142,1278,44
也门共和国,0,2081,350,606
新西兰,9,2069,1974,25
乍得,5,1705,1539,102
圣马力诺,37,1687,1340,46
尼日尔,54,1640,1227,76
利比里亚,0,1595,1343,83
美属维尔京群岛,6,1550,1453,23
越南,0,1358,1201,35
列支敦士登,42,1344,1088,16
荷属圣马丁,20,1092,976,25
泽西岛,80,1008,705,32
圣多美和普林西比,1,997,934,17
蒙古,7,819,365,0
法属波利尼西亚,0,773,528,0
圣马丁岛,0,744,0,12
布隆迪共和国,0,689,4,1
巴布亚新几内亚,0,669,597,7
特克斯和凯科斯群岛,0,668,572,5
摩纳哥,4,621,563,3
科摩罗,2,613,586,7
厄立特里亚,0,577,498,0
坦桑尼亚,0,509,183,21
毛里求斯,3,508,465,10
不丹,1,415,386,0
马恩岛,0,369,324,25
柬埔寨,2,331,304,0
直布罗陀,0,315,273,0
根西岛,1,287,253,13
开曼群岛,8,282,236,2
巴巴多斯,1,279,255,7
圣卢西亚,2,261,141,2
百慕大,0,260,182,9
法罗群岛,0,184,157,0
塞舌尔,0,183,162,0
荷兰加勒比地区,0,162,0,3
圣巴泰勒米岛,0,152,0,0
文莱,0,151,145,3
安提瓜和巴布达,2,144,133,4
北马里亚纳群岛联邦,0,106,0,2
圣文森特和格林纳丁斯,0,85,80,0
多米尼克,0,85,63,0
英属维尔京群岛,0,73,70,1
斐济,0,42,33,2
格林那达,0,41,30,0
老挝,0,39,26,0
东帝汶,1,31,30,0
梵蒂冈,0,27,15,0
新喀里多尼亚,0,26,23,0
圣其茨和尼维斯,0,22,19,0
福克兰群岛,0,17,13,0
圣皮埃尔和密克隆群岛,0,16,12,0
蒙特塞拉特,0,13,12,1
格陵兰,0,11,11,0
安圭拉,0,3,3,0
