国家,新增确诊,确诊,治愈,死亡,死亡率（%）,感染占比,人口（万人）
美国,198792,15369046,8982246,290443,1.89,4703,32676
印度,26567,9703770,9178946,140958,1.45,716,135405
巴西,20371,6623911,5897526,177317,2.68,3141,21086
俄罗斯,25752,2492713,1963864,43674,1.75,1731,14396
法国,3411,2349059,175919,55613,2.37,3601,6523
意大利,13679,1742557,933132,60606,3.48,2939,5929
英国,14773,1742528,3761,61531,3.53,2617,6657
西班牙,6255,1715700,196958,46646,2.72,3698,4639
阿根廷,3199,1466309,1300696,39888,2.72,3281,4468
哥伦比亚,5997,1377100,1267595,37995,2.76,2784,4946
德国,11310,1205860,888730,19471,1.61,1465,8229
墨西哥,6399,1182249,873555,110074,9.31,904,13075
波兰,8310,1076180,738845,20592,1.91,2824,3810
伊朗,11023,1062397,754224,50917,4.79,1295,8201
秘鲁,0,973912,909389,36274,3.72,2992,3255
土耳其,32137,860432,436270,15103,1.76,1050,8191
乌克兰,11156,855054,454226,14413,1.69,1943,4400
南非,3313,817878,745750,22249,2.72,1425,5739
比利时,859,592615,33687,17386,2.93,5157,1149
印度尼西亚,5292,586842,483497,18000,3.07,219,26679
荷兰,53,573750,7341,9786,1.71,3359,1708
伊拉克,0,566015,495725,12460,2.20,1439,3933
智利,1760,562142,536267,15663,2.79,3090,1819
捷克,4237,551070,484781,9036,1.64,0,0
罗马尼亚,7439,524675,416797,12660,2.41,2679,1958
孟加拉国,2202,481945,401194,6906,1.43,0,0
菲律宾,1386,442785,408790,8670,1.96,415,10651
加拿大,7658,426572,344034,12796,3.00,1154,3695
巴基斯坦,2885,423179,370474,8487,2.01,210,20081
摩洛哥,1531,381188,334269,6320,1.66,1053,3619
沙特阿拉伯,0,358922,349168,5977,1.67,1069,3355
瑞士,4262,358568,279900,5532,1.54,4198,854
以色列,1836,347497,330475,2925,0.84,4112,845
葡萄牙,0,325071,245843,5041,1.55,3159,1029
奥地利,2377,308070,262314,4002,1.30,3520,875
瑞典,0,278912,4917,7067,2.53,2794,998
匈牙利,2219,256367,75281,6120,2.39,2648,968
约旦,0,244069,192033,3116,1.28,2465,990
尼泊尔,1382,243377,229054,1637,0.67,821,2962
塞尔维亚,0,226209,15913,2005,0.89,2582,876
厄瓜多尔,246,198244,174188,13780,6.95,1175,1686
哈萨克斯坦,688,180777,152379,2544,1.41,982,1840
巴拿马,1511,179230,154330,3212,1.79,4308,416
阿联酋,1260,178837,160295,596,0.33,1874,954
格鲁吉亚,4673,169649,141392,1576,0.93,4349,390
日本,2144,167257,139537,2347,1.40,131,12718
日本本土,2144,166545,138838,2334,1.40,13,12718
保加利亚,2764,164185,65616,5010,3.05,2335,703
克罗地亚,2613,154852,130869,2298,1.48,3722,416
阿塞拜疆,4387,154152,93411,1713,1.11,1553,992
白俄罗斯,1649,150602,127528,1222,0.81,1593,945
多米尼加,685,149138,117402,2346,1.57,0,0
哥斯达黎加,2736,146421,102855,1825,1.25,2958,495
玻利维亚,97,145657,124981,8997,6.18,1299,1121
科威特,301,144900,140638,900,0.62,3458,419
亚美尼亚,584,142928,119147,2372,1.66,4878,293
卡塔尔,295,140203,137708,239,0.17,5212,269
黎巴嫩,984,138096,90229,1115,0.81,2267,609
危地马拉,0,125674,114697,4274,3.40,728,1724
阿曼,210,125325,116720,1454,1.16,2600,482
斯洛伐克,1949,119232,87433,1046,0.88,2191,544
埃及,415,118847,103703,6790,5.71,119,9937
摩尔多瓦,1130,117495,101938,2438,2.07,2908,404
希腊,1250,116721,23074,3092,2.65,1047,1114
埃塞俄比亚,440,113735,82803,1755,1.54,106,10667
洪都拉斯,0,111023,49456,2946,2.65,1179,941
委内瑞拉,462,104904,99982,924,0.88,323,3238
突尼斯,327,104329,77798,3596,3.45,895,1165
巴勒斯坦,1351,101109,75257,867,0.86,2002,505
缅甸,0,100431,79240,2132,2.12,186,5385
波黑,0,94944,59488,3012,3.17,2712,350
中国,95,94488,88056,4753,5.03,6.7,140005
丹麦,0,93177,72401,894,0.96,1620,575
阿尔及利亚,573,88825,57648,2527,2.84,211,4200
巴拉圭,803,88723,62603,1872,2.11,1287,689
肯尼亚,199,88579,69414,1531,1.73,173,5095
巴林,181,88111,86215,341,0.39,5648,156
利比亚,889,87986,57837,1255,1.43,1359,647
斯洛文尼亚,1630,87915,65240,1862,2.12,4226,208
立陶宛,1390,77426,32399,673,0.87,2697,287
吉尔吉斯斯坦,295,75690,67873,1301,1.72,1234,613
马来西亚,1012,75306,64056,388,0.52,235,3204
爱尔兰,222,74468,23364,2099,2.82,1551,480
乌兹别克斯坦,153,74206,71482,611,0.82,229,3236
尼日利亚,390,69645,64947,1181,1.70,35,19587
北马其顿,364,68332,44705,1949,2.85,0,0
新加坡,12,58285,58168,29,0.05,1006,579
加纳,0,52274,51063,325,0.62,177,2946
阿富汗,200,47716,37920,1906,3.99,131,3637
阿尔巴尼亚,695,43683,22180,922,2.11,1490,293
萨尔瓦多,214,40345,36735,1168,2.90,629,641
韩国,594,38755,29650,552,1.42,75,5116
挪威,163,38703,17998,359,0.93,723,535
黑山,316,38562,27651,543,1.41,6219,62
卢森堡,1459,38476,29792,360,0.94,6521,59
斯里兰卡,377,28580,20804,142,0.50,136,2095
芬兰,361,28242,18100,424,1.50,509,554
澳大利亚,15,27987,25646,908,3.24,112,2477
喀麦隆,0,24752,23344,443,1.79,100,2467
乌干达,701,23200,9374,207,0.89,52,4427
拉脱维亚,584,22104,1866,288,1.30,1151,192
科特迪瓦,22,21507,21150,132,0.61,86,2490
苏丹,279,19747,11184,1301,6.59,47,4151
赞比亚,32,17963,17268,364,2.03,102,1760
马达加斯加,0,17513,16927,255,1.46,66,2626
塞内加尔,43,16596,15864,340,2.05,101,1629
莫桑比克,82,16326,14429,136,0.83,53,3052
安哥拉,57,15648,8353,354,2.26,50,3077
