国家,确诊,治愈,死亡,人口,死亡率（%）,确诊率（%）,治愈率（%）
美国,16942822,9871663,308089,328802000.0,1.8184,5.1529,58.2646
印度,9906165,9422636,143709,1344270000.0,1.4507,0.7369,95.1189
巴西,6927145,6158049,181835,209598000.0,2.625,3.305,88.8974
俄罗斯,2656601,2105414,46846,146793744.0,1.7634,1.8098,79.2522
法国,2433859,183340,58391,66992699.0,2.3991,3.633,7.5329
英国,1874867,4048,64500,66040229.0,3.4402,2.839,0.2159
土耳其,1866345,1631944,16646,82003882.0,0.8919,2.2759,87.4406
意大利,1855737,1115617,65011,60377663.0,3.5032,3.0735,60.1172
西班牙,1762036,196958,48013,46733038.0,2.7249,3.7704,11.1779
阿根廷,1503222,1340120,41041,44938712.0,2.7302,3.345,89.1498
哥伦比亚,1434516,1321469,39195,45500000.0,2.7323,3.1528,92.1195
德国,1357261,1012077,22634,82979100.0,1.6676,1.6357,74.5676
墨西哥,1255974,927754,114298,126577691.0,9.1003,0.9923,73.8673
波兰,1140572,869155,22960,38433600.0,2.013,2.9676,76.2034
伊朗,1115770,823231,52447,82256200.0,4.7005,1.3565,73.7814
秘鲁,984973,918352,36677,32495510.0,3.7237,3.0311,93.2363
乌克兰,933737,542251,16025,42153201.0,1.7162,2.2151,58.0732
南非,866127,762746,23451,57725600.0,2.7076,1.5004,88.064
荷兰,632085,7944,10168,17302600.0,1.6086,3.6531,1.2568
印度尼西亚,623309,510957,18956,268074600.0,3.0412,0.2325,81.9749
比利时,609211,33687,18054,11455358.0,2.9635,5.3181,5.5296
捷克,586251,511798,9743,10637794.0,1.6619,5.511,87.3001
伊拉克,575972,509474,12603,39127900.0,2.1881,1.472,88.4546
智利,573830,546538,15931,19107216.0,2.7763,3.0032,95.2439
罗马尼亚,559587,460780,13494,19523621.0,2.4114,2.8662,82.3429
孟加拉国,492332,423845,7089,166155000.0,1.4399,0.2963,86.0893
加拿大,472820,385021,13570,37394100.0,2.87,1.2644,81.4308
菲律宾,450733,418723,8757,107295000.0,1.9428,0.4201,92.8982
巴基斯坦,443246,386333,8905,203885000.0,2.009,0.2174,87.16
摩洛哥,400826,359065,6659,34951000.0,1.6613,1.1468,89.5813
瑞士,384557,308300,6154,8526932.0,1.6003,4.5099,80.1702
以色列,360297,338642,3004,8998820.0,0.8338,4.0038,93.9897
沙特阿拉伯,360013,350792,6059,33413660.0,1.683,1.0774,97.4387
葡萄牙,350938,274277,5649,10291027.0,1.6097,3.4101,78.1554
奥地利,325051,284174,4530,8859992.0,1.3936,3.6688,87.4244
瑞典,320098,4917,7514,10230185.0,2.3474,3.129,1.5361
匈牙利,283870,82546,7130,9771000.0,2.5117,2.9052,29.0788
塞尔维亚,271364,15913,2380,7001444.0,0.8771,3.8758,5.8641
约旦,262477,222654,3407,10364100.0,1.298,2.5326,84.828
尼泊尔,249244,236573,1716,29609623.0,0.6885,0.8418,94.9162
厄瓜多尔,202180,177951,13875,17190400.0,6.8627,1.1761,88.0161
格鲁吉亚,194900,164786,1883,3729600.0,0.9661,5.2258,84.549
巴拿马,194619,163334,3382,4218808.0,1.7378,4.6131,83.925
哈萨克斯坦,186960,158705,2554,18395700.0,1.3661,1.0163,84.8871
阿联酋,186041,164349,618,9682088.0,0.3322,1.9215,88.3402
日本,182941,150791,2544,126330000.0,1.3906,0.1448,82.426
保加利亚,181544,85578,5838,7050034.0,3.2157,2.5751,47.139
阿塞拜疆,178986,114841,1966,9981457.0,1.0984,1.7932,64.162
克罗地亚,177358,151884,2705,4105493.0,1.5252,4.32,85.637
白俄罗斯,162148,139785,1273,9475200.0,0.7851,1.7113,86.2083
多米尼加,155184,121007,2364,74679.0,1.5234,207.8014,77.9765
哥斯达黎加,153169,118511,1936,5058007.0,1.264,3.0282,77.3727
亚美尼亚,149120,127452,2529,2969200.0,1.6959,5.0222,85.4694
黎巴嫩,147613,103057,1210,6065922.0,0.8197,2.4335,69.8157
玻利维亚,147345,126439,9024,11469896.0,6.1244,1.2846,85.8115
科威特,146449,142357,912,4226920.0,0.6227,3.4647,97.2059
卡塔尔,141121,138719,241,2766459.0,0.1708,5.1011,98.2979
斯洛伐克,133489,98585,1205,5445087.0,0.9027,2.4515,73.8525
危地马拉,129405,118217,4445,17679735.0,3.435,0.7319,91.3543
摩尔多瓦,127253,110179,2598,3547539.0,2.0416,3.5871,86.5826
阿曼,126504,118287,1472,4669163.0,1.1636,2.7094,93.5046
希腊,125173,23074,3687,10741165.0,2.9455,1.1654,18.4337
埃及,122086,105132,6943,98408200.0,5.687,0.1241,86.1131
埃塞俄比亚,117242,95225,1809,98665000.0,1.543,0.1188,81.2209
洪都拉斯,114642,51688,2989,9158345.0,2.6072,1.2518,45.0864
丹麦,113642,81088,950,5806081.0,0.836,1.9573,71.3539
突尼斯,111361,84741,3894,11434994.0,3.4967,0.9739,76.0958
巴勒斯坦,111102,87057,1000,4780978.0,0.9001,2.3238,78.3577
缅甸,109512,88131,2292,54339766.0,2.0929,0.2015,80.4761
委内瑞拉,108125,103037,960,32219521.0,0.8879,0.3356,95.2943
波多黎各,104125,45565,1238,3195153.0,1.189,3.2588,43.7599
波黑,101461,66486,3391,3511372.0,3.3422,2.8895,65.5286
斯洛文尼亚,96745,73760,2107,2076595.0,2.1779,4.6588,76.2417
中国,95167,88730,4761,1426490644.0,5.0028,0.0067,93.2361
立陶宛,95021,38957,825,2793986.0,0.8682,3.4009,40.9983
巴拉圭,94223,67242,1971,7152703.0,2.0918,1.3173,71.3647
阿尔及利亚,92597,60888,2609,43378027.0,2.8176,0.2135,65.7559
肯尼亚,92055,73452,1593,49360000.0,1.7305,0.1865,79.7914
利比亚,91357,61453,1314,6569864.0,1.4383,1.3905,67.2669
巴林,89268,87332,348,1543300.0,0.3898,5.7842,97.8312
马来西亚,84846,70597,419,32636700.0,0.4938,0.26,83.206
吉尔吉斯斯坦,77910,70867,1316,6350500.0,1.6891,1.2268,90.9601
爱尔兰,76449,23364,2126,4857000.0,2.7809,1.574,30.5616
乌兹别克斯坦,75241,72522,612,33368948.0,0.8134,0.2255,96.3863
北马其顿,73851,50046,2147,2075301.0,2.9072,3.5586,67.7662
尼日利亚,73374,66314,1197,193392517.0,1.6314,0.0379,90.3781
新加坡,58325,58210,29,5638700.0,0.0497,1.0344,99.8028
加纳,53014,51761,327,30280811.0,0.6168,0.1751,97.6365
阿尔巴尼亚,49191,24820,1016,2870324.0,2.0654,1.7138,50.4564
阿富汗,48952,38336,1995,31575018.0,4.0754,0.155,78.3134
韩国,44364,32559,600,51811167.0,1.3524,0.0856,73.3906
卢森堡,41900,33367,410,602005.0,0.9785,6.9601,79.6348
萨尔瓦多,41880,38087,1205,6704864.0,2.8773,0.6246,90.9432
黑山,41803,31138,585,622359.0,1.3994,6.7169,74.4875
挪威,41334,17998,393,5328212.0,0.9508,0.7758,43.5428
斯里兰卡,33478,24309,154,21670000.0,0.46,0.1545,72.6119
芬兰,31110,20000,461,5521773.0,1.4818,0.5634,64.288
澳大利亚,28048,25689,908,25278400.0,3.2373,0.111,91.5894
乌干达,27766,9921,224,40006700.0,0.8067,0.0694,35.7307
拉脱维亚,25885,16869,352,1918500.0,1.3599,1.3492,65.169
喀麦隆,25214,23851,443,24348251.0,1.757,0.1036,94.5943
科特迪瓦,21705,21318,133,25823071.0,0.6128,0.0841,98.217
苏丹,21591,12452,1355,41303340.0,6.2758,0.0523,57.6722
库拉索岛,18762,0,408,160012.0,2.1746,11.7254,0.0
爱沙尼亚,18385,11121,154,1323820.0,0.8376,1.3888,60.4895
赞比亚共和国,18274,17388,367,17381168.0,2.0083,0.1051,95.1516
马达加斯加,17587,16992,259,25263000.0,1.4727,0.0696,96.6168
